# real 轮（30205）logcat 决定性子集
# 源文件: .cache/p33-verify-r7/logcat-live-real.log (17964197B, sha256=6a8d7d5f8c118e4a52df99ef3317a7a7cb771226ec8c6a9fcff78359625a507b)
# 采集: 2026-09-15 13:35 启动（logcat -v time 不清 buffer），13:48 停止
# 内容: 全部 OTA_MONO 打点(76) + OTA sent 首尾 + BLE 重连失败行
# FIRST_SENT: 09-15 13:41:23.111 I/flutter (24733): OTA sent 128/284590
# LAST_SENT:  09-15 13:45:28.582 I/flutter (24733): OTA sent 284590/284590

09-15 13:43:48.550 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7568275669 wallUs=1789451028550816 durable=167936
09-15 13:43:52.017 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7571741818 wallUs=1789451032016967 durable=172032
09-15 13:43:55.479 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7575204352 wallUs=1789451035479500 durable=176128
09-15 13:43:58.948 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7578673000 wallUs=1789451038948150 durable=180224
09-15 13:44:02.366 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7582091590 wallUs=1789451042366734 durable=184320
09-15 13:44:05.828 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7585553446 wallUs=1789451045828593 durable=188416
09-15 13:44:09.430 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7589154984 wallUs=1789451049430130 durable=192512
09-15 13:44:12.940 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7592664838 wallUs=1789451052939984 durable=196608
09-15 13:44:16.447 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7596172660 wallUs=1789451056447806 durable=200704
09-15 13:44:19.828 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7599553363 wallUs=1789451059828511 durable=204800
09-15 13:44:23.429 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7603154439 wallUs=1789451063429588 durable=208896
09-15 13:44:27.023 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7606748699 wallUs=1789451067023846 durable=212992
09-15 13:44:30.444 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7610169042 wallUs=1789451070444185 durable=217088
09-15 13:44:33.865 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7613589973 wallUs=1789451073865117 durable=221184
09-15 13:44:37.920 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7617103442 wallUs=1789451077378591 durable=225280
09-15 13:44:40.837 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7620562565 wallUs=1789451080837710 durable=229376
09-15 13:44:44.350 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7624075542 wallUs=1789451084350689 durable=233472
09-15 13:44:47.903 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7627628440 wallUs=1789451087903589 durable=237568
09-15 13:44:51.368 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7631093624 wallUs=1789451091368773 durable=241664
09-15 13:44:54.877 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7634602446 wallUs=1789451094877589 durable=245760
09-15 13:44:58.480 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7638205741 wallUs=1789451098480891 durable=249856
09-15 13:45:02.214 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7641938928 wallUs=1789451102214072 durable=253952
09-15 13:45:05.725 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7645450311 wallUs=1789451105725455 durable=258048
09-15 13:45:09.232 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7648957031 wallUs=1789451109232175 durable=262144
09-15 13:45:12.699 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7652424249 wallUs=1789451112699393 durable=266240
09-15 13:45:16.433 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7656158246 wallUs=1789451116433394 durable=270336
09-15 13:45:19.945 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7659670768 wallUs=1789451119945914 durable=274432
09-15 13:45:23.412 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7663136806 wallUs=1789451123411955 durable=278528
09-15 13:45:27.013 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7666738625 wallUs=1789451127013774 durable=282624
09-15 13:45:28.897 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7668622485 wallUs=1789451128897630 durable=284590
09-15 13:45:29.078 I/flutter (24733): OTA_MONO MONO_END_ACK_OK monoUs=7668803015 wallUs=1789451129078163 durable=284590
09-15 13:46:32.251 I/flutter (24733): OTA_MONO MONO_REBOOT_VERIFIED monoUs=7731975809 wallUs=1789451192250968
09-15 13:46:49.490 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=7749215275 wallUs=1789451209490415
09-15 13:46:50.178 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=7749903577 wallUs=1789451210178720
09-15 13:45:29.595 I/flutter (24733): OTA重连失败(e3:49:e1:14:d6:cb): PlatformException(requestMtu, device is disconnected, null, null)
